what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1720802579242
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1720802579242
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1720802579242
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1720802579242
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1720802579246
os,sysinfo,,,"win32",1720802579248
arch,sysinfo,,,"x86",1720802579248
ws,sysinfo,,,"win32",1720802579248
locale,sysinfo,,,"en_US",1720802579248
processors,sysinfo,,,"4",1720802579248
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1720802579248
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1720802579248
java.specification.name,sysinfo,,,"Java Platform API Specification",1720802579248
java.specification.vendor,sysinfo,,,"Oracle Corporation",1720802579248
java.specification.version,sysinfo,,,"1.7",1720802579248
java.vendor,sysinfo,,,"Oracle Corporation",1720802579248
java.version,sysinfo,,,"1.7.0_02",1720802579248
java.vm.info,sysinfo,,,"mixed mode",1720802579248
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1720802579248
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1720802579248
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1720802579248
java.vm.specification.version,sysinfo,,,"1.7",1720802579248
java.vm.vendor,sysinfo,,,"Oracle Corporation",1720802579248
java.vm.version,sysinfo,,,"22.0-b10",1720802579248
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1720802580275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720802580742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720802586771
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1720802589466
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1720802589487
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1720802589522
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1720802589789
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1720802607365
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1720802607365
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1720802612966
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1720802612970
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1720802613017
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1720802613017
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1720802613142
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1720802613142
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1720802617190
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20110511-0800,"org.eclipse.team.cvs.ssh2",1720802627409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720802628054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720802656117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720802679555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805425395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805432755
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1720805442595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805506800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1720805516687
